"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"181","PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",6,8,44,56,2021-11-04
"182","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",6,15,106,150,2021-11-04
"183","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",6,40,324,420,2021-11-04
"184","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",6,5,38,47,2021-11-04
"185","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",6,6,51,63,2021-11-04
"186","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",6,48,215,294,2021-11-04
"187","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",5,32,227,318,2021-11-04
"188","PUBLIC SCHOOL DISTRICT","BLEVINS SCHOOL DIST",5,10,49,63,2021-11-04
"189","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",5,6,33,46,2021-11-04
"190","PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",5,5,40,51,2021-11-04
"191","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",5,30,214,311,2021-11-04
"192","PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",5,6,36,47,2021-11-04
"193","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",5,14,104,125,2021-11-04
"194","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",5,17,89,120,2021-11-04
"195","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",5,31,183,255,2021-11-04
"196","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",5,7,43,56,2021-11-04
"197","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",9,NA,NA,59,2021-11-04
"198","PRIVATE SCHOOL","LEE ACADEMY, MARIANNA",5,0,7,7,2021-11-04
"199","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",16,77,394,NA,2021-11-04
"200","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",7,8,62,115,2021-11-04
"201","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",5,30,104,209,2021-11-04
"202","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",56,86,460,656,2021-11-01
"203","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",42,73,486,633,2021-11-01
"204","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",33,20,128,164,2021-11-01
"205","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",29,41,282,377,2021-11-01
"206","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",28,121,639,919,2021-11-01
"207","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",27,18,116,163,2021-11-01
"208","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",25,16,86,141,2021-11-01
"209","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",25,37,481,649,2021-11-01
"210","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",25,101,453,644,2021-11-01
"211","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",20,14,147,176,2021-11-01
"212","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",16,34,312,421,2021-11-01
"213","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",16,18,188,226,2021-11-01
"214","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",15,6,64,81,2021-11-01
"215","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",14,32,161,230,2021-11-01
"216","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",13,22,118,164,2021-11-01
"217","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",12,7,99,127,2021-11-01
"218","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",11,22,141,170,2021-11-01
"219","PUBLIC SCHOOL DISTRICT","WOODLAWN SCHOOL DIST",10,5,27,35,2021-11-01
"220","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",9,26,260,345,2021-11-01
"221","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",9,40,323,419,2021-11-01
"222","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",9,10,98,131,2021-11-01
"223","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",9,27,107,150,2021-11-01
"224","PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",8,10,50,66,2021-11-01
"225","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",8,48,215,294,2021-11-01
"226","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",7,21,132,174,2021-11-01
"227","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",7,25,137,196,2021-11-01
"228","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",7,5,36,45,2021-11-01
"229","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",7,11,87,114,2021-11-01
"230","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",7,7,42,55,2021-11-01
"231","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",6,NA,NA,65,2021-11-01
"232","PUBLIC SCHOOL DISTRICT","BISMARCK SCHOOL DIST",6,6,47,55,2021-11-01
"233","PUBLIC SCHOOL DISTRICT","BLEVINS SCHOOL DIST",6,9,49,62,2021-11-01
"234","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",6,21,91,124,2021-11-01
"235","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",6,25,180,207,2021-11-01
"236","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",6,15,71,103,2021-11-01
"237","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",6,18,85,118,2021-11-01
"238","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",6,33,305,367,2021-11-01
"239","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",6,22,236,323,2021-11-01
"240","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",5,32,226,317,2021-11-01
"241","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",5,7,25,37,2021-11-01
"242","PUBLIC SCHOOL DISTRICT","DECATUR SCHOOL DIST",5,NA,NA,15,2021-11-01
"243","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",5,17,73,101,2021-11-01
"244","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",5,14,106,149,2021-11-01
"245","PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",5,17,75,108,2021-11-01
"246","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",5,12,81,98,2021-11-01
"247","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",5,14,103,123,2021-11-01
"248","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",5,17,88,118,2021-11-01
"249","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",5,6,48,60,2021-11-01
"250","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",5,30,179,250,2021-11-01
"251","PUBLIC SCHOOL DISTRICT","SLOAN",5,NA,NA,14,2021-11-01
"252","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",5,12,105,143,2021-11-01
"253","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",11,NA,NA,56,2021-11-01
"254","PRIVATE SCHOOL","LEE ACADEMY, MARIANNA",6,0,7,7,2021-11-01
"255","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",15,76,394,735,2021-11-01
"256","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",6,8,62,110,2021-11-01
"257","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",6,49,22,168,2021-11-01
"258","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",6,30,103,208,2021-11-01
"259","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",5,14,79,201,2021-11-01
"260","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",66,85,451,642,2021-10-28
"261","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",56,73,476,623,2021-10-28
"262","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",35,41,274,368,2021-10-28
"263","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",32,20,124,160,2021-10-28
"264","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",27,37,472,638,2021-10-28
"265","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",21,120,624,895,2021-10-28
"266","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",20,17,106,153,2021-10-28
"267","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",19,14,139,167,2021-10-28
"268","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",18,34,309,418,2021-10-28
"269","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",18,98,447,633,2021-10-28
"270","PUBLIC SCHOOL DISTRICT","BLEVINS SCHOOL DIST",16,9,48,61,2021-10-28
"271","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",16,5,60,76,2021-10-28
"272","PUBLIC SCHOOL DISTRICT","WOODLAWN SCHOOL DIST",15,5,27,35,2021-10-28
"273","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",14,20,113,159,2021-10-28
"274","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",14,13,75,125,2021-10-28
"275","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",14,22,138,167,2021-10-28
"276","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",14,25,136,193,2021-10-28
"277","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",13,18,179,216,2021-10-28
"278","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",13,28,159,223,2021-10-28
"279","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",10,21,88,120,2021-10-28
"280","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",10,27,141,179,2021-10-28
"281","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",9,40,319,416,2021-10-28
"282","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",9,48,213,292,2021-10-28
"283","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",8,7,95,122,2021-10-28
"284","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",8,33,302,364,2021-10-28
"285","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",8,6,47,59,2021-10-28
"286","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",8,10,95,128,2021-10-28
"287","PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",7,8,42,55,2021-10-28
"288","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",7,15,71,103,2021-10-28
"289","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",7,23,137,175,2021-10-28
"290","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",7,14,100,120,2021-10-28
"291","PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",7,10,49,65,2021-10-28
"292","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",7,26,106,146,2021-10-28
"293","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",6,NA,NA,64,2021-10-28
"294","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",6,7,23,35,2021-10-28
"295","PUBLIC SCHOOL DISTRICT","CEDAR RIDGE SCHOOL DIST",6,5,19,26,2021-10-28
"296","PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",6,7,36,44,2021-10-28
"297","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",6,28,217,280,2021-10-28
"298","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",6,18,84,117,2021-10-28
"299","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",6,13,76,103,2021-10-28
"300","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",6,30,177,247,2021-10-28
"301","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",6,10,99,123,2021-10-28
"302","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",6,9,84,110,2021-10-28
"303","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",6,13,100,138,2021-10-28
"304","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",6,11,70,95,2021-10-28
"305","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",6,28,220,279,2021-10-28
"306","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",5,12,48,70,2021-10-28
"307","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",5,5,46,59,2021-10-28
"308","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",5,24,180,206,2021-10-28
"309","PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",5,16,75,106,2021-10-28
"310","PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",5,6,31,42,2021-10-28
"311","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",5,25,128,177,2021-10-28
"312","PUBLIC SCHOOL DISTRICT","OUACHITA SCHOOL DIST",5,7,21,35,2021-10-28
"313","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",5,20,235,321,2021-10-28
"314","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",5,16,88,117,2021-10-28
"315","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",5,12,113,139,2021-10-28
"316","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",5,5,34,43,2021-10-28
"317","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",5,6,41,53,2021-10-28
"318","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",19,NA,NA,52,2021-10-28
"319","PRIVATE SCHOOL","LEE ACADEMY, MARIANNA",5,0,6,6,2021-10-28
"320","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",17,75,390,729,2021-10-28
"321","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",11,49,22,169,2021-10-28
"322","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",9,14,79,201,2021-10-28
"323","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",6,13,25,60,2021-10-28
"324","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",5,8,58,106,2021-10-28
"325","COLLEGE/UNIVERSITY","UACC AT MORRILTON",5,13,22,55,2021-10-28
"326","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",5,28,103,207,2021-10-28
"327","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",54,66,447,584,2021-10-21
"328","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",41,80,404,588,2021-10-21
"329","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",38,120,603,870,2021-10-21
"330","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",36,40,252,342,2021-10-21
"331","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",29,24,131,188,2021-10-21
"332","PUBLIC SCHOOL DISTRICT","BLEVINS SCHOOL DIST",26,6,45,55,2021-10-21
"333","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",23,35,454,619,2021-10-21
"334","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",23,95,435,617,2021-10-21
"335","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",23,25,139,175,2021-10-21
"336","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",22,NA,NA,67,2021-10-21
"337","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",21,21,133,162,2021-10-21
"338","PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",18,11,65,86,2021-10-21
"339","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",17,32,299,405,2021-10-21
"340","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",17,32,300,360,2021-10-21
"341","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",15,12,127,153,2021-10-21
"342","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",15,14,95,117,2021-10-21
"343","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",14,19,86,117,2021-10-21
"344","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",14,18,172,208,2021-10-21
"345","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",13,14,98,139,2021-10-21
"346","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",13,39,313,411,2021-10-21
"347","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",13,12,111,137,2021-10-21
"348","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",13,30,175,243,2021-10-21
"349","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",13,11,67,91,2021-10-21
"350","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",12,9,84,108,2021-10-21
"351","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",12,27,217,275,2021-10-21
"352","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",11,7,38,48,2021-10-21
"353","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",11,22,136,173,2021-10-21
"354","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",11,20,232,316,2021-10-21
"355","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",10,17,108,148,2021-10-21
"356","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",10,24,252,335,2021-10-21
"357","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",10,44,210,285,2021-10-21
"358","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",9,18,66,100,2021-10-21
"359","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",9,28,216,279,2021-10-21
"360","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",9,20,142,188,2021-10-21
"361","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",9,14,85,115,2021-10-21
"362","PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",8,7,37,49,2021-10-21
"363","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",8,27,120,173,2021-10-21
"364","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",8,22,150,207,2021-10-21
"365","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",7,11,46,68,2021-10-21
"366","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",7,28,225,311,2021-10-21
"367","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",7,5,45,58,2021-10-21
"368","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",7,13,89,113,2021-10-21
"369","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",7,8,76,97,2021-10-21
"370","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",7,13,74,101,2021-10-21
"371","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",7,22,95,133,2021-10-21
"372","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",7,12,101,139,2021-10-21
"373","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",6,21,126,167,2021-10-21
"374","PUBLIC SCHOOL DISTRICT","EMERSON",6,9,57,70,2021-10-21
"375","PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",6,10,50,66,2021-10-21
"376","PUBLIC SCHOOL DISTRICT","IZARD CO CONS SCHOOL DIST",6,NA,NA,34,2021-10-21
"377","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",6,14,101,144,2021-10-21
"378","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",6,NA,NA,76,2021-10-21
"379","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",6,10,68,87,2021-10-21
"380","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",6,9,59,78,2021-10-21
"381","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",6,8,82,106,2021-10-21
"382","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",6,26,101,138,2021-10-21
"383","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",5,6,20,31,2021-10-21
"384","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",5,7,146,185,2021-10-21
"385","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",5,NA,NA,59,2021-10-21
"386","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",5,7,60,76,2021-10-21
"387","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",5,6,90,116,2021-10-21
"388","PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",5,7,33,41,2021-10-21
"389","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",5,5,36,46,2021-10-21
"390","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",5,12,78,95,2021-10-21
"391","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",5,24,125,173,2021-10-21
"392","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",5,10,95,120,2021-10-21
"393","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",5,7,91,120,2021-10-21
"394","PUBLIC SCHOOL DISTRICT","WOODLAWN SCHOOL DIST",5,NA,NA,22,2021-10-21
"395","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",13,NA,NA,42,2021-10-21
"396","PRIVATE SCHOOL","LIFE WAY CHRISTIAN SCHOOL, CENTERTON",6,NA,NA,30,2021-10-21
"397","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",26,74,385,719,2021-10-21
"398","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",13,44,19,158,2021-10-21
"399","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",11,13,22,58,2021-10-21
"400","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",10,27,100,202,2021-10-21
"401","COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",9,25,60,86,2021-10-21
"402","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",7,15,77,138,2021-10-21
"403","COLLEGE/UNIVERSITY","UACC AT MORRILTON",6,12,21,52,2021-10-21
"404","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",49,116,584,846,2021-10-14
"405","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",48,63,404,534,2021-10-14
"406","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",41,39,223,311,2021-10-14
"407","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",38,93,426,604,2021-10-14
"408","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",32,71,383,552,2021-10-14
"409","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",31,31,290,395,2021-10-14
"410","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",30,20,229,312,2021-10-14
"411","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",29,32,293,352,2021-10-14
"412","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",26,34,445,605,2021-10-14
"413","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",21,37,308,401,2021-10-14
"414","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",21,43,206,280,2021-10-14
"415","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",19,18,118,171,2021-10-14
"416","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",18,27,223,307,2021-10-14
"417","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",18,24,246,328,2021-10-14
"418","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",18,8,76,97,2021-10-14
"419","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",18,20,139,185,2021-10-14
"420","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",16,17,120,143,2021-10-14
"421","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",16,24,175,201,2021-10-14
"422","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",16,26,212,268,2021-10-14
"423","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",15,7,121,142,2021-10-14
"424","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",15,17,81,109,2021-10-14
"425","PUBLIC SCHOOL DISTRICT","EMERSON",15,9,55,68,2021-10-14
"426","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",14,17,101,140,2021-10-14
"427","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",14,22,91,129,2021-10-14
"428","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",14,30,167,232,2021-10-14
"429","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",13,28,210,273,2021-10-14
"430","PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",13,9,57,76,2021-10-14
"431","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",13,19,127,157,2021-10-14
"432","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",12,NA,NA,55,2021-10-14
"433","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",12,12,105,132,2021-10-14
